X,Y,Z,Bx,By,Bz
-10.0,-10.0,-10.0,-4.671864386860892,-5.999118272408849,0.6159463440492928
-10.0,-10.0,-9.5,-4.780842501304293,-6.17548905116001,1.0339261749828388
-10.0,-10.0,-9.0,-4.865428356682134,-6.32926296982321,1.4948325129672833
-10.0,-10.0,-8.5,-4.920343544066919,-6.454839769426747,1.998497129816691
-10.0,-10.0,-8.0,-4.939966791894772,-6.546204775164223,2.5436817508330196
-10.0,-10.0,-7.5,-4.918452898658559,-6.597044056794839,3.1278780478654045
-10.0,-10.0,-7.0,-4.849894455298403,-6.600904317397464,3.7471188717183717
-10.0,-10.0,-6.5,-4.728528397472539,-6.551400139162222,4.395816808978036
-10.0,-10.0,-6.0,-4.5489862129152305,-6.442467992570707,5.066649073067305
-10.0,-10.0,-5.5,-4.306582370868662,-6.268662094869821,5.750509618480068
-10.0,-10.0,-5.0,-3.99763040740607,-6.025481941587443,6.436549532106014
-10.0,-10.0,-4.5,-3.6197704768530405,-5.709715508562367,7.1123245413712635
-10.0,-10.0,-4.0,-3.17228668713876,-5.3197763544651,7.76406335822206
-10.0,-10.0,-3.5,-2.6563880100162445,-4.856007991516925,8.377062325919214
-10.0,-10.0,-3.0,-2.0754239565308454,-4.320925920786301,8.93620069578269
-10.0,-10.0,-2.5,-1.4350064694064,-3.719367620755703,9.42655766699962
-10.0,-10.0,-2.0,-0.7430133135034608,-3.0585242865998494,9.834098522203254
-10.0,-10.0,-1.5,-0.009455901470185348,-2.347835550840191,10.146384729045739
-10.0,-10.0,-1.0,0.753794393278648,-1.5987394510994875,10.353253917530495
-10.0,-10.0,-0.5,1.5334138764505494,-0.8242835118347086,10.447412161139903
-10.0,-10.0,0.0,2.3151463501862555,-0.03861729799706464,10.424884317602409
-10.0,-10.0,0.5,3.0844004633141733,0.7435998933274394,10.285278614989053
-10.0,-10.0,1.0,3.8268804725383787,1.5078325016850036,10.031838251544409
-10.0,-10.0,1.5,4.529201815641489,2.2402945419996283,9.671273394116778
-10.0,-10.0,2.0,5.179444233807882,2.928519767918681,9.213388680072965
-10.0,-10.0,2.5,5.767602151508315,3.561834587250012,8.670540980370568
-10.0,-10.0,3.0,6.285903494474909,4.1317032791295185,8.056976992971968
-10.0,-10.0,3.5,6.728982258634332,4.6319290251303125,7.388108365159539
-10.0,-10.0,4.0,7.093904786145018,5.058708924013801,6.679782883265824
-10.0,-10.0,4.5,7.3800628340952645,5.410554465563454,5.947604449640174
-10.0,-10.0,5.0,7.58895659581057,5.688099310997477,5.206343695556074
-10.0,-10.0,5.5,7.723897005021602,5.893822766262113,4.469467305804152
-10.0,-10.0,6.0,7.789658795437217,6.031719865299115,3.7487996797665453
-10.0,-10.0,6.5,7.792114386861655,6.106947943881097,3.054317326138195
-10.0,-10.0,7.0,7.737874607338576,6.125475832649641,2.394065714265268
-10.0,-10.0,7.5,7.633956586928287,6.093756360606609,1.774180860480834
-10.0,-10.0,8.0,7.487492880634786,6.0184367401711345,1.1989937925662837
-10.0,-10.0,8.5,7.305489821960526,5.906115432974619,0.6711948398684693
-10.0,-10.0,9.0,7.094637849313589,5.763148857878446,0.19203580267408196
-10.0,-10.0,9.5,6.861172401031583,5.5955071299048225,-0.2384492739394733
-10.0,-10.0,10.0,6.610781034608141,5.408675019562294,-0.6212204620664736
-10.0,-9.5,-10.0,-5.138396098701722,-6.261113319373272,0.41632385141885603
-10.0,-9.5,-9.5,-5.277228512791457,-6.46562304155695,0.8538354771184793
-10.0,-9.5,-9.0,-5.390737557149304,-6.648234519662702,1.3398608576074291
-10.0,-9.5,-8.5,-5.47285351604401,-6.8028476800383375,1.874747069760743
-10.0,-9.5,-8.0,-5.51703122016192,-6.922828974994337,2.457678676573999
-10.0,-9.5,-7.5,-5.51637580635789,-7.001125483940684,3.0864318054683206
-10.0,-9.5,-7.0,-5.463821435552261,-7.030431428662402,3.757134595282383
-10.0,-9.5,-6.5,-5.352367089339788,-7.003411752685968,4.464052853349926
-10.0,-9.5,-6.0,-5.175369820678489,-6.912983870477882,5.199423963388866
-10.0,-9.5,-5.5,-4.926890618207006,-6.752653684694847,5.953365207610095
-10.0,-9.5,-5.0,-4.602081493447766,-6.5168956104852205,6.713883821733081
-10.0,-9.5,-4.5,-4.197594943490536,-6.201559029348064,7.467014348540541
-10.0,-9.5,-4.0,-3.711989347354652,-5.8042760491637315,8.197103375946844
-10.0,-9.5,-3.5,-3.1460972203979964,-5.324838727041208,8.88725207183105
-10.0,-9.5,-3.0,-2.5033189077911704,-4.7655093102418284,9.519913190017377
-10.0,-9.5,-2.5,-1.7898036076364627,-4.1312259088840655,10.077622349322382
-10.0,-9.5,-2.0,-1.0144883003056693,-3.429667899437327,10.54383376448062
-10.0,-9.5,-1.5,-0.188941215590684,-2.671162623777611,10.903753977505712
-10.0,-9.5,-1.0,0.6729264717120473,-1.8684087231434248,11.145231714400149
-10.0,-9.5,-0.5,1.5553748347773122,-1.0360308341599538,11.259464568061437
-10.0,-9.5,0.0,2.4414704641897926,-0.18998682296778527,11.241573471418372
-10.0,-9.5,0.5,3.3138302980414602,0.6531324639397095,11.090939978134136
-10.0,-9.5,1.0,4.155411090614842,1.4768564043470969,10.81127779676342
-10.0,-9.5,1.5,4.950280646458642,2.265579843358473,10.410429318457005
-10.0,-9.5,2.0,5.6843086218729955,3.0052402806645837,9.899906444938958
-10.0,-9.5,2.5,6.345723746114265,3.683866049949154,9.294224927879505
-10.0,-9.5,3.0,6.925503481902935,4.2920148890932275,8.610073274191835
-10.0,-9.5,3.5,7.417568797537024,4.822938084472328,7.8654443837659445
-10.0,-9.5,4.0,7.818800058822411,5.272667833760631,7.078739172078711
-10.0,-9.5,4.5,8.128881253109949,5.639892426092505,6.267952301399742
-10.0,-9.5,5.0,8.35000949407347,5.925709439098756,5.449975794013046
-10.0,-9.5,5.5,8.486508304894134,6.1332828923359255,4.640055519463853
-10.0,-9.5,6.0,8.544385984855117,6.267442996434473,3.8514144913347876
-10.0,-9.5,6.5,8.530877625220928,6.334264996986733,3.095040127712306
-10.0,-9.5,7.0,8.454003243371076,6.340658200851476,2.3796195616436564
-10.0,-9.5,7.5,8.32216653986826,6.293988986010298,1.7115984594572173
-10.0,-9.5,8.0,8.143810324092247,6.201753735291895,1.0953345423485794
-10.0,-9.5,8.5,7.927136772563606,6.071310227527431,0.5333164699177567
-10.0,-9.5,9.0,7.679894077103713,5.909669746605059,0.026420989438755746
-10.0,-9.5,9.5,7.409226041627012,5.72334736753133,-0.4258147342627879
-10.0,-9.5,10.0,7.121577835745804,5.5182646064966745,-0.8249238366781237
-10.0,-9.0,-10.0,-5.64109762459721,-6.509301528696469,0.188352178882408
-10.0,-9.0,-9.5,-5.814518357200061,-6.74347995564963,0.6442910424852453
-10.0,-9.0,-9.0,-5.961981741694957,-6.95686439767796,1.1547632412572768
-10.0,-9.0,-8.5,-6.076552936686193,-7.142870812554266,1.7207543334810278
-10.0,-9.0,-8.0,-6.150658388887057,-7.294247387189744,2.342001108181537
-10.0,-9.0,-7.5,-6.1762150455204825,-7.403183494852552,3.0166930053476047
-10.0,-9.0,-7.0,-6.144824293893907,-7.4614791472274105,3.7411727094160505
